nct_id,start_date,registration_date,has_prospective_registration
NCT00629174,2006-06-30,2008-02-25,FALSE
NCT00626548,2008-01-31,2008-01-24,TRUE
NCT00623415,2007-12-31,2008-02-15,FALSE
NCT00615732,2008-03-31,2008-02-01,TRUE
NCT00610584,2008-04-30,2008-01-28,TRUE
NCT00600847,2006-11-30,2008-01-15,FALSE
NCT00598611,2007-09-30,2008-01-10,FALSE
NCT00596986,2008-10-31,2008-01-08,TRUE
NCT00590447,2006-12-31,2007-12-28,FALSE
NCT00579657,2007-08-31,2007-12-21,FALSE
NCT00576030,2007-01-31,2007-12-14,FALSE
NCT00570271,2007-04-30,2007-12-05,FALSE
NCT00568672,2007-10-31,2007-12-05,FALSE
NCT00568542,2006-05-31,2007-12-05,FALSE
NCT00567736,2007-08-31,2007-12-04,FALSE
NCT00563836,2007-11-30,2007-11-23,TRUE
NCT00558506,2008-01-31,2007-11-14,TRUE
NCT00552981,2007-11-30,2007-11-01,TRUE
NCT00546975,2007-10-31,2007-10-18,TRUE
NCT00543881,2008-01-31,2007-10-11,TRUE
NCT00538928,2007-09-30,2007-10-02,FALSE
NCT00531726,2007-09-30,2007-09-18,TRUE
NCT00530738,2007-09-30,2007-09-14,TRUE
NCT00525668,2007-09-30,2007-09-04,TRUE
NCT00521560,2006-03-31,2007-08-27,FALSE
NCT00512135,2007-06-30,2007-08-06,FALSE
NCT00511277,2007-08-31,2007-08-02,TRUE
NCT00473603,2006-12-31,2007-05-14,FALSE
NCT00472238,2007-08-31,2007-05-10,TRUE
NCT00457288,2007-04-30,2007-04-04,TRUE
NCT00437307,2007-03-31,2007-02-19,TRUE
NCT00432653,2007-03-31,2007-02-06,TRUE
NCT00432107,2006-07-31,2007-02-06,FALSE
NCT00419081,2006-07-31,2007-01-05,FALSE
NCT00409409,2006-12-31,2006-12-07,TRUE
NCT00408187,2006-12-31,2006-12-04,TRUE
NCT00407667,2006-12-31,2006-12-01,TRUE
NCT00406575,2006-11-30,2006-11-30,TRUE
NCT00398671,2006-01-31,2006-11-13,FALSE
NCT00368264,2006-09-30,2006-08-23,TRUE
NCT00331669,2006-05-31,2006-05-26,TRUE
NCT00277342,2006-01-31,2006-01-12,TRUE
NCT00271713,2006-03-31,2006-01-03,TRUE
NCT00268138,2006-04-30,2005-12-21,TRUE
NCT00243607,2006-05-31,2005-10-21,TRUE
NCT00146471,2006-01-31,2005-09-06,TRUE
NCT04727073,2018-11-01,2019-01-28,FALSE
NCT04114188,2016-12-15,2018-10-15,FALSE
NCT03796754,2019-01-21,2019-01-02,TRUE
NCT03723239,2018-09-12,2018-10-25,FALSE
NCT03162289,2017-05-10,2017-05-10,TRUE
NCT02747758,2016-09-19,2016-04-15,TRUE
NCT02682693,2017-02-13,2016-01-27,TRUE
NCT02540395,2015-03-31,2015-08-19,FALSE
NCT04423796,2020-11-02,2020-06-06,TRUE
NCT04159285,2019-01-05,2019-08-01,FALSE
NCT02710721,2016-04-30,2016-02-09,TRUE
NCT04198558,2019-11-29,2019-11-25,TRUE
NCT04612725,2020-10-27,2020-09-18,TRUE
NCT04119843,2020-02-19,2019-09-29,TRUE
NCT02896491,2016-05-01,2016-05-27,TRUE
NCT04141137,2019-12-09,2019-10-24,TRUE
NCT03901183,2019-05-27,2019-03-28,TRUE
NCT02268695,2014-10-10,2014-10-13,TRUE
NCT04416048,2020-11-30,2020-06-02,TRUE
NCT03240627,2018-03-01,2017-07-26,TRUE
NCT02908308,2017-11-18,2016-09-16,TRUE
NCT01014871,2009-07-31,2009-11-16,FALSE
