doi,year,pmid,oa_indicator,oa_status
10.1007/s00011-016-0971-9,2016,27384606,0,closed
10.1007/s00018-015-1987-y,2016,26194246,0,closed
10.1007/s00018-015-2072-2,2016,26496725,0,closed
10.1007/s00018-016-2174-5,2016,27007508,"Other Gold, Green Published",hybrid
10.1007/s00018-016-2253-7,2016,27147467,"Green Published, Other Gold",hybrid
10.1007/s00018-016-2311-1,2016,27491297,NA,hybrid
10.1007/s00018-016-2410-z,2017,27832290,"hybrid, Green Published, Green Accepted",hybrid
10.1007/s00038-016-0825-9,2016,27165864,0,closed
10.1007/s00038-017-0957-6,2017,28255647,0,closed
10.1007/s00048-016-0152-5,2016,27613376,Bronze,bronze
10.1007/s00053-015-0048-1,2016,0,0,closed
10.1007/s00053-016-0113-4,2016,0,0,closed
10.1007/s00053-016-0118-z,2016,0,NA,closed
10.1007/s00053-016-0125-0,2016,0,0,closed
10.1007/s00053-016-0132-1,2017,0,NA,closed
10.1007/s00053-016-0133-0,2017,0,Bronze,bronze
10.1007/s00053-017-0139-2,2017,0,NA,closed
10.1007/s00053-017-0156-1,2017,0,NA,bronze
10.1007/s00056-015-0001-5,2016,26753550,0,closed
10.1007/s00056-017-0085-1,2017,28321457,0,closed
10.1007/s00059-016-4422-8,2016,27083586,0,closed
10.1007/s00059-016-4430-8,2016,27215419,0,closed
10.1007/s00059-016-4458-9,2017,27412664,0,closed
10.1007/s00059-016-4492-7,2017,27796409,0,closed
10.1007/s00059-016-4496-3,2016,27858115,0,closed
10.1007/s00059-016-4499-0,2017,27844137,0,closed
10.1007/s00059-016-4503-8,2016,27847992,0,closed
10.1007/s00059-016-4505-6,2016,27844136,0,closed
10.1007/s00059-017-4559-0,2017,28357448,0,closed
10.1007/s00059-017-4601-2,2017,28791432,0,closed
10.1007/s00059-017-4609-7,2017,28835976,0,closed
10.1007/s00059-017-4613-y,2017,28871373,0,closed
10.1007/s00062-016-0509-0,2017,27113903,0,closed
10.1007/s00063-015-0072-5,2016,26340800,0,closed
10.1007/s00063-015-0116-x,2017,26564181,0,closed
10.1007/s00063-015-0120-1,2017,26604092,0,closed
10.1007/s00063-016-0145-0,2017,26931134,0,closed
10.1007/s00063-016-0205-5,2016,27503197,0,closed
10.1007/s00063-016-0215-3,2016,27654041,0,closed
10.1007/s00063-016-0227-z,2017,27766378,0,closed
10.1007/s00063-016-0229-x,2016,27787569,0,closed
10.1007/s00063-016-0251-z,2017,28074297,0,closed
10.1007/s00063-017-0272-2,2017,28378152,0,closed
10.1007/s00063-017-0285-x,2017,28447145,0,closed
10.1007/s00063-017-0299-4,2017,28447142,0,closed
10.1007/s00063-017-0348-z,2017,28900664,0,closed
10.1007/s00064-015-0425-5,2016,26475262,0,closed
10.1007/s00064-016-0468-2,2016,27628762,0,closed
10.1007/s00066-015-0913-4,2016,26462675,0,closed
10.1007/s00066-016-0945-4,2016,26852243,0,closed
10.1007/s00066-016-0999-3,2016,27323753,0,closed
10.1007/s00066-016-1041-5,2017,27628966,"Green Published, Other Gold",hybrid
10.1007/s00066-017-1106-0,2017,0,"Green Published, Other Gold",green
10.1007/s00066-017-1138-5,2017,28466154,NA,closed
10.1007/s00066-017-1140-y,2017,28470414,0,closed
10.1007/s00066-017-1141-x,2017,28466155,0,closed
10.1007/s00066-017-1166-1,2017,28631017,0,closed
10.1007/s00068-015-0570-4,2016,26335539,0,closed
10.1007/s00101-015-0113-8,2016,26660899,0,closed
10.1007/s00101-015-0129-0,2016,26745995,0,closed
10.1007/s00101-016-0194-z,2016,27358076,0,closed
10.1007/s00101-016-0215-y,2016,27605374,0,closed
10.1007/s00101-016-0216-x,2016,27612865,0,closed
10.1007/s00101-016-0260-6,2017,28091758,0,closed
